Grade,Subject,Topic,SubTopic,link
5,Mathematics,Money,Multiplication and Division of Money,https://www.youtube.com/watch?v=ckfkl9PGpGU
5,Mathematics,Money,Multiplication and Division of Money,https://www.youtube.com/watch?v=HGr-4rwjx8s
5,Mathematics,Money,Multiplication and Division of Money,https://www.youtube.com/watch?v=lV4ZVfWfPEA
5,Mathematics,Percentage,Introduction to Percentage,https://www.youtube.com/watch?v=UgD7A3dXB_E
5,Mathematics,Percentage,Introduction to Percentage,https://www.youtube.com/watch?v=NO5I1kVNJ7Q
5,Mathematics,Percentage,Introduction to Percentage,https://www.youtube.com/watch?v=y1m-C-rJmAc
5,Mathematics,Ratio and Proportion,Conversion of Ratios,Video unavailable
5,Science,Air,Atmosphere,
5,Science,Air,Atmosphere,
5,Science,Air,Atmosphere,
5,Science,Air,Properties of air,
5,Science,Animal Life,Introduction to Animal Life,
5,Science,Animal Life,Introduction to Animal Life,
5,Science,Animal Life,Introduction to Animal Life,
5,Science,Animal Life,Introduction to Animal Life,
5,Science,Diseases,Introduction to disease,
5,Science,Diseases,Introduction to disease,
5,Science,Diseases,Introduction to disease,
5,Science,Diseases,Introduction to disease,
5,Science,Diseases,Prevention of disease,
5,Science,Diseases,Prevention of disease,
5,Science,Diseases,Prevention of disease,
5,Science,Diseases,Types of diseases,
5,Science,Energy,Conservation of Energy,
5,Science,Energy,Conservation of Energy,
5,Science,Energy,Conservation of Energy,
5,Science,Energy,Conservation of Energy,
5,Science,Energy,Forms of Energy,
5,Science,Energy,Forms of Energy,
5,Science,Energy,Forms of Energy,
5,Science,Energy,Forms of Energy,
5,Science,Energy,Inter Conversion of Energy,
5,Science,Energy,Inter Conversion of Energy,
5,Science,Energy,Inter Conversion of Energy,
5,Science,Energy,Introduction to Energy,
5,Science,Energy,Introduction to Energy,
5,Science,Energy,Introduction to Energy,
5,Science,Energy,Introduction to Energy,
5,Science,Energy,Non renewable Sources of Energy,
5,Science,Energy,Renewable Sources of Energy,
5,Science,Energy,Renewable Sources of Energy,
5,Science,Food,Balanced Diet,
5,Science,Food,Balanced Diet,
5,Science,Food,Balanced Diet,
5,Science,Food,Balanced Diet,
5,Science,Food,Composition of food,
5,Science,Food,Composition of food,
5,Science,Food,Composition of food,
5,Science,Food,Composition of food,
5,Science,Food,Introduction to food,
5,Science,Food,Introduction to food,
5,Science,Food,Introduction to food,
5,Science,Food,Introduction to food,
5,Science,Force,Introduction to Force,
5,Science,Force,Introduction to Force,
5,Science,Force,Introduction to Force,
5,Science,Force,Introduction to Force,
5,Science,Force,Types of Forces,
5,Science,Force,Types of Forces,
5,Science,Force,Types of Forces,
5,Science,Force,Types of Forces,
5,Science,Houses,Introduction to houses,
5,Science,Houses,Introduction to houses,
5,Science,Houses,Introduction to houses,
5,Science,Houses,Introduction to houses,
5,Science,Houses,Types of houses,
5,Science,Houses,Types of houses,
5,Science,Houses,Types of houses,
5,Science,Houses,Types of houses,
5,Science,Human Body,Muscular System,
5,Science,Human Body,Muscular System,
5,Science,Human Body,Muscular System,
5,Science,Human Body,Muscular System,
5,Science,Human Body,Nervous System,
5,Science,Human Body,Nervous System,
5,Science,Human Body,Nervous System,
5,Science,Human Body,Nervous System,
5,Science,Human Body,Skeletal System,
5,Science,Human Body,Skeletal System,
5,Science,Human Body,Skeletal System,
5,Science,Human Body,Skeletal System,
5,Science,Natural Hazards and Disasters,Climatic Hazards,
5,Science,Natural Hazards and Disasters,Climatic Hazards,
5,Science,Natural Hazards and Disasters,Climatic Hazards,
5,Science,Natural Hazards and Disasters,Climatic Hazards,
5,Science,Natural Hazards and Disasters,Geological Hazards,
5,Science,Natural Hazards and Disasters,Geological Hazards,
5,Science,Natural Hazards and Disasters,Geological Hazards,
5,Science,Natural Hazards and Disasters,Geological Hazards,
5,Science,Natural Hazards and Disasters,Introduction to Natural Hazards and Diasters,
5,Science,Natural Hazards and Disasters,Introduction to Natural Hazards and Diasters,
5,Science,Natural Hazards and Disasters,Introduction to Natural Hazards and Diasters,
5,Science,Our Clothes,Fibres,
5,Science,Our Clothes,Types of clothes,
5,Science,Our Clothes,Types of clothes,
5,Science,Our Clothes,Types of clothes,
5,Science,Our Clothes,Types of clothes,
5,Science,Plant Life,Agriculture,
5,Science,Plant Life,Agriculture,
5,Science,Plant Life,Agriculture,
5,Science,Plant Life,Agriculture,
5,Science,Plant Life,Shoot system,
5,Science,Plant Life,Shoot system,
5,Science,Plant Life,Shoot system,
5,Science,Plant Life,Shoot system,
5,Science,Pollution,Air pollution,
5,Science,Pollution,Air pollution,
5,Science,Pollution,Air pollution,
5,Science,Pollution,Air pollution,
5,Science,Pollution,Noise pollution,
5,Science,Pollution,Noise pollution,
5,Science,Pollution,Noise pollution,
5,Science,Pollution,Noise pollution,
5,Science,Pollution,Soil pollution,
5,Science,Pollution,Soil pollution,
5,Science,Pollution,Soil pollution,
5,Science,Pollution,Soil pollution,
5,Science,Pollution,Water pollution,
5,Science,Pollution,Water pollution,
5,Science,Pollution,Water pollution,
5,Science,Pollution,Water pollution,
5,Science,Rocks and Minerals,Igneous Rocks,
5,Science,Rocks and Minerals,Igneous Rocks,
5,Science,Rocks and Minerals,Igneous Rocks,
5,Science,Rocks and Minerals,Igneous Rocks,
5,Science,Rocks and Minerals,Introduction to Rocks and Minerals,
5,Science,Rocks and Minerals,Introduction to Rocks and Minerals,
5,Science,Rocks and Minerals,Introduction to Rocks and Minerals,
5,Science,Rocks and Minerals,Introduction to Rocks and Minerals,
5,Science,Rocks and Minerals,Metamorphic Rocks,
5,Science,Rocks and Minerals,Sedimentary Rocks,
5,Science,Safety and first aid,Introduction to First aid,
5,Science,Safety and first aid,Introduction to First aid,
5,Science,Safety and first aid,Introduction to First aid,
5,Science,Safety and first aid,Introduction to First aid,
5,Science,Safety and first aid,Introduction to Safety,
5,Science,Safety and first aid,Introduction to Safety,
5,Science,Safety and first aid,Introduction to Safety,
5,Science,Safety and first aid,Introduction to Safety,
5,Science,Simple machines,Introduction to simple machines,
5,Science,Simple machines,Introduction to simple machines,
5,Science,Simple machines,Introduction to simple machines,
5,Science,Simple machines,Introduction to simple machines,
5,Science,Soil,Conservation of soil,
5,Science,Soil,Conservation of soil,
5,Science,Soil,Conservation of soil,
5,Science,Soil,Conservation of soil,
5,Science,Soil,Soil erosion,
5,Science,Soil,Soil erosion,
5,Science,Soil,Soil erosion,
5,Science,Soil,Soil erosion,
5,Science,The Universe,Events observed on Earth,
5,Science,The Universe,Events observed on Earth,
5,Science,The Universe,Events observed on Earth,
5,Science,The Universe,Events observed on Earth,
5,Science,The Universe,Solar system,
5,Science,The Universe,Solar system,
5,Science,The Universe,Solar system,
5,Science,The Universe,Solar system,
5,Science,The Universe,Story of the Universe,
5,Science,The Universe,Story of the Universe,
5,Science,The Universe,Story of the Universe,
5,Science,The Universe,Story of the Universe,
5,Science,Water,Chemical methods of purification of drinking water,
5,Science,Water,Chemical methods of purification of drinking water,
5,Science,Water,Chemical methods of purification of drinking water,
5,Science,Water,Chemical methods of purification of drinking water,
5,Science,Water,Impurities present in water,
5,Science,Water,Impurities present in water,
5,Science,Water,Impurities present in water,
5,Science,Water,Impurities present in water,
5,Science,Water,Impurities present in water,
5,Science,Water,Impurities present in water,
5,Science,Water,Impurities present in water,
5,Science,Water,Impurities present in water,
5,Science,Water,Impurities present in water,
5,Science,Water,Impurities present in water,
5,Science,Water,Introduction to water,
5,Science,Water,Physical methods of purification of drinking water,
5,Science,Water,Physical methods of purification of drinking water,
5,Science,Water,Physical methods of purification of drinking water,
5,Science,Water,Physical methods of purification of drinking water,
5,Science,Water,Removal of insoluble impurities,
5,Science,Water,Removal of insoluble impurities,
5,Science,Water,Removal of insoluble impurities,
5,Science,Water,Removal of insoluble impurities,
5,Science,Water,Uses of water,
5,Science,Water,Uses of water,
5,Science,Water,Uses of water,
5,Science,Water,Uses of water,
5,Science,Water,Water conservation,
5,Science,Water,Water conservation,
5,Science,Water,Water conservation,
5,Science,Water,Water conservation,
5,Science,Work,Introduction to Work,
5,Science,Work,Introduction to Work,
5,Science,Work,Introduction to Work,
5,Science,Work,Introduction to Work,
6,Mathematics,Angles,Introduction to Angles,https://www.youtube.com/watch?v=fQ_t0DrjY94
6,Mathematics,Angles,Introduction to Angles,https://www.youtube.com/watch?v=jSdWGcuDm5E
6,Mathematics,Area and Perimeter,Area and Perimeter of Polygons,https://youtu.be/Pyft4tijg_I
6,Mathematics,Area and Perimeter,Area and Perimeter of Rhombus,https://youtu.be/9HYpu6IvjWc
6,Mathematics,Area and Perimeter,Area and Perimeter of Rhombus,https://www.youtube.com/watch?v=mdRfwxxHFuM
6,Mathematics,Area and Perimeter,Area and Perimeter of Rhombus,https://www.youtube.com/watch?v=EM7b-IIbtTQ
6,Mathematics,Area and Perimeter,Area of Rhombus,https://www.youtube.com/watch?v=3Jx9gGpGbrA
6,Mathematics,Area and Perimeter,Area of Triangles,https://www.youtube.com/watch?v=dAns-8FJB1s
6,Mathematics,Area and Perimeter,Perimeter of Triangles,https://www.youtube.com/watch?v=1n4Fd-aDHNg
6,Mathematics,Area and Perimeter,Introduction to Area and Perimeter,https://www.youtube.com/watch?v=NeSjvIPUMcE
6,Mathematics,Area and Perimeter,Introduction to Area and Perimeter,https://www.youtube.com/watch?v=jtUuyv7pQiU
6,Mathematics,Area and Perimeter,Introduction to Area and Perimeter,https://www.youtube.com/watch?v=zjqJBHCHQQY
6,Mathematics,Averages,Compute Averages,https://youtu.be/nVs1XKFtn9s
6,Mathematics,Averages,Introduction to Averages,https://www.youtube.com/watch?v=ZlwnrUSbvv0
6,Mathematics,Circles,Introduction to Circles,https://youtu.be/m9dpeG2rKdY
6,Mathematics,Circles,Introduction to Circles,https://youtu.be/wSukTkxdnhg
6,Mathematics,Decimals,Operations on Decimals,https://www.youtube.com/watch?v=kwh4SD1ToFc
6,Mathematics,Decimals,Operations on Decimals,https://www.youtube.com/watch?v=FQwHKQoR7Ec
6,Mathematics,Decimals,Operations on Decimals,https://www.youtube.com/watch?v=9zaj5CldQzs
7,Mathematics,Angles,Pairs of Angles and Properties,Video unavailable
7,Mathematics,Expansions and Factorization,Factorization of algebraic expressions,https://www.youtube.com/watch?v=y1YbMPVE5Q0
7,Mathematics,Expansions and Factorization,Factorization of algebraic expressions,https://www.youtube.com/watch?v=00GCZmDKZNg
7,Mathematics,Expansions and Factorization,Factorization of algebraic expressions,https://www.youtube.com/watch?v=Ss_tdDlQU0g
7,Mathematics,Percentage,Introduction to Percentage,https://www.youtube.com/watch?v=NO5I1kVNJ7Q&t=24s
7,Mathematics,Percentage,Introduction to Percentage,https://www.youtube.com/watch?v=xPmpj5H6GGI
7,Mathematics,Percentage,Introduction to Percentage,https://www.youtube.com/watch?v=jBta8I0gA3A
7,Mathematics,Ratio and Proportion,Introduction to Proportion,https://www.youtube.com/watch?v=Q9BVF2y5cRg
7,Mathematics,Ratio and Proportion,Introduction to Proportion,https://www.youtube.com/watch?v=FEQ3iIDDOSo
7,Mathematics,Ratio and Proportion,Introduction to Proportion,https://www.youtube.com/watch?v=xp3mhUo71HE
7,Mathematics,Real Numbers,Operations on rational numbers,https://www.youtube.com/watch?v=5HMbVmIikzM
7,Mathematics,Real Numbers,Operations on rational numbers,https://www.youtube.com/watch?v=Rx74okVCDow
7,Mathematics,Real Numbers,Properties of addition,videos already present
7,Mathematics,Simple Interest,Computing Simple Interest,videos already present
7,Mathematics,Simple Interest,Introduction to Simple Interest,videos already present
7,Mathematics,Symmetry,Rotational Symmetry,videos already present
7,Mathematics,Variation,Introduction to Variation,videos already present
8,Mathematics,Profit Loss and Discount,Profit and Loss,https://www.youtube.com/watch?v=e4SqDLpyosk
8,Mathematics,Profit Loss and Discount,Profit and Loss,https://www.youtube.com/watch?v=g0_1ZhueCcE
8,Mathematics,Profit Loss and Discount,Profit and Loss,https://www.youtube.com/watch?v=RtgSqqRy8t0
8,Mathematics,Quadrilaterals,Introduction to Rhombus,https://www.youtube.com/watch?v=uXo_Vpctmrg
8,Mathematics,Quadrilaterals,Introduction to Rhombus,https://www.youtube.com/watch?v=EI9TyGpMhMY
9,Mathematics,Quadrilaterals,Theorems and proofs on parallelograms,https://www.youtube.com/watch?v=SWOsrBzfBzY
9,Mathematics,Quadrilaterals,Theorems and proofs on parallelograms,https://www.youtube.com/watch?v=sGnHX7jLMAM
9,Mathematics,Real Numbers,Rational Numbers on the Number Line,https://www.youtube.com/watch?v=J-mrAZbOvQ8
9,Mathematics,Real Numbers,Rational Numbers on the Number Line,https://www.youtube.com/watch?v=WynEmwOyMjE
9,Mathematics,Real Numbers,Rational Numbers on the Number Line,https://www.youtube.com/watch?v=SfhvqcG2aJc
9,Mathematics,Real Numbers,Rational Numbers on the Number Line,https://www.youtube.com/watch?v=y9y5EZ8nRpg
9,Mathematics,Real Numbers,Rational Numbers on the Number Line,https://www.youtube.com/watch?v=OBnAb6muD6I
